total_paragraphs,paragraphs_with_extractions,paragraphs_processed,selected_with_extractions,coverage,cost_savings,filtered_cost,keywords,keyword_size,dataset
15456,5462,10241,4584,0.8392530208714757,0.337409420289855,0.3440976,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities']",28,train
15456,5462,10262,4594,0.8410838520688393,0.33605072463768104,0.34480320000000003,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood']",29,train
15456,5462,10262,4594,0.8410838520688393,0.33605072463768104,0.34480320000000003,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway']",30,train
15456,5462,10264,4594,0.8410838520688393,0.3359213250517598,0.34487039999999997,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately']",31,train
15456,5462,10417,4617,0.8452947638227756,0.3260222567287783,0.3500112,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified']",32,train
15456,5462,10445,4623,0.8463932625411937,0.3242106625258799,0.350952,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union']",33,train
15456,5462,10446,4623,0.8463932625411937,0.3241459627329193,0.35098559999999995,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique']",34,train
15456,5462,10480,4635,0.8485902599780301,0.32194616977225665,0.352128,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit']",35,train
15456,5462,10480,4635,0.8485902599780301,0.32194616977225665,0.352128,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united']",36,train
15456,5462,10480,4635,0.8485902599780301,0.32194616977225665,0.352128,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units']",37,train
